"id","institution","product","institution_sort","product_sort","schoolexpense_sort","univ_sort","grade_sort","major_sort","grade_stand_detail","income_stand_detail","support_detail","qualification_detail","local_residence_detail","duration_detail","selection_way_detail","selection_num_detail","qualification_restriction_detail","recommendation_detail","documentaion_detail","created_dt","modified_dt","like_num","scrap_num"
"풍육장학회_풍육장학생","풍육장학회","풍육장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","성적이 우수한 자","해당없음","해당없음","풍양조씨 인 자성적이 우수하고 행실이 바른 정규 4년제 대학 신입생 및 재학생해외유학생","해당없음",NULL,"해당없음","00명","1세대 1자녀 원칙타처에서 장학금을 받고 있는 학생은 신청 불가능수능성적이 없이 수시전형에 합격한 자는 신청할 수 없음 한번 수혜 받은 학생은 재신청 불가 전문대/대학원생 제외  * 이 외 자세한 사항은 첨부파일 참고","해당없음",NULL,"2022-11-06 17:00:50.417372","2022-11-06 17:00:50.417372",0,0
"하영호장학재단_장학생","하영호장학재단","장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","최대 2000000원 * 자부담 등록금 범위 내 결격사유가 없는 한 졸업 시까지 지원","사각지대의 어려운 생활수준으로 장학금이 필요한 학생매월 첫째주 토요일 정기봉사에 참여할 수 있는 학생","해당없음",NULL,"1차 서류2차 면접( 1차 합격자에 한 함)","해당없음","기초수급 대상자 및 차상위계층은 제외","담당교수",NULL,"2022-11-06 17:00:50.42181","2022-11-06 17:00:50.42181",0,0
"청양사랑인재육성장학회_명문대입학장학금","청양사랑인재육성장학회","명문대입학장학금","지자체","장학금","지역연고","특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","명문대 입학한 자수능합 7등급 이내인자","해당없음","관내 중・고 졸업생: 10000000원관내 고교 졸업생: 5000000원","군내 중학교와 고등학교를 졸업하고 명문대에 입학한 자* 명문대 범위 : 서울대/고려대/연세대/카이스트/포항공대/치의한의대/수능합 7등급 이내인 자(고려대/ 연세대는 지방캠퍼스 제외)","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자",NULL,"재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음 * 자세한 사항은 첨부파일 혹은 홈페이지 공고 참고","해당없음",NULL,"2022-11-06 17:00:50.426379","2022-11-06 17:00:50.426379",0,0
"세명대학교_보훈장학금","세명대학교","보훈장학금","대학교","장학금","기타","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","등록금 전액","국가 유공자 자녀 및 본인","해당없음",NULL,"해당없음","해당없음","해당없음","해당없음",NULL,"2022-11-06 17:00:57.433984","2022-11-06 17:00:57.433984",0,0
"청양사랑인재육성장학회_충남도립대입학장학금","청양사랑인재육성장학회","충남도립대입학장학금","지자체","장학금","지역연고","특정대학","대학신입생/연령제한","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","충남도립대학교 입학생","해당없음","1000000원 (생활비)","관내 중학교와 고등학교를 졸업하고 충남도립대학교에 입학한 자공고일 현재 만 25세 이하","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자",NULL,"재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음공고일 현재 만 25세 이상인 자 제외","해당없음",NULL,"2022-11-06 17:00:50.430049","2022-11-06 17:00:50.430049",0,0
"청양사랑인재육성장학회_성적우수장학금(대학교신입생)","청양사랑인재육성장학회","성적우수장학금(대학교신입생)","지자체","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","군내 고등학교 1/2/3학년을 재학하고 졸업한자 중/ 직전학년 과목별 성적이 등급점수 4등급 이내인 자","해당없음","1500000원 (등록금)","군내 고등학교 1/2/3학년을 재학하고 졸업한 자대학교 신입생","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자",NULL,"재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음",NULL,"2022-11-06 17:00:50.433243","2022-11-06 17:00:50.433243",0,0
"청양사랑인재육성장학회_성적우수장학금(군내대학재학생)","청양사랑인재육성장학회","성적우수장학금(군내대학재학생)","지자체","장학금","지역연고","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 학년 평점이 30 이상인자 (45점 만점기준)","해당없음","1500000원 (등록금)","군내 대학 재학생군내고교 1/2/3학년 모두 재학 후 졸업한자","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자",NULL,"재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음",NULL,"2022-11-06 17:00:50.43623","2022-11-06 17:00:50.43623",0,0
"청양사랑인재육성장학회_성적우수장학금(군외대학재학생)","청양사랑인재육성장학회","성적우수장학금(군외대학재학생)","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 학년 평점이 35 이상인자(45점 만점기준)","해당없음","1500000원 (등록금)","군내 고등학교 1/2/3학년 모두 재학 후 졸업한 자","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자",NULL,"재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음",NULL,"2022-11-06 17:00:50.43909","2022-11-06 17:00:50.43909",0,0
"청양사랑인재육성장학회_예체능장학금","청양사랑인재육성장학회","예체능장학금","지자체","장학금","특기자","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","1500000원 (생활비)","군내 초/ 중/ 고/ 대학 재학생 및 군내 초등학교나 중학교 또는 고등학교를 졸업한 군외/중/ 고/ 대학생 중 직전학년 예/ 체능부문 성적이 전국규모대회에서 3위 이상 입상한 자와 체육부문은 도 대회 1위 입상한 자","장학생 선발 공고일 1년 전부터 부모 또는 본인이 청양군에 주소를 두고 거주한 자",NULL,"재단법인 청양사랑 인재육성장학회 운영세칙' 제6조 선발기준에 의거 (재)청양사랑인재육성장학회 장학위원회에서 선발","해당없음","신청일 현재 휴학생 및 당해 연도 1학기 휴학예정자 (단/ 신청접수 마감일까지 복학한 자는 예외로 한다)다른 장학금과 중복될 경우 제한될 수 있음기타 장학위원회 결정에 따른다","해당없음",NULL,"2022-11-06 17:00:50.444237","2022-11-06 17:00:50.444237",0,0
"봉평태기장학회_일반장학생","봉평태기장학회","일반장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학교 재학생은 前학기 평균성적이 90점(백분율 환산점수) 이상대학교 신입생은 수학능력점수 90점(백분율 환산점수) 이상","해당없음","전문대 : 1000000원국・사립대 : 1500000원 내외","2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 대학교 재학생・신입생","본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자단/ 본적이 타 지역인 자는 5년 이상 거주",NULL,"예산범위내 성적순 선발/ 장학이사회 심의 후 개별통보 예정","해당없음","학자금 면제자/ 타장학금 일백만원 이상 수혜대상 확정자","해당없음",NULL,"2022-11-06 17:00:50.451054","2022-11-06 17:00:50.451054",0,0
"방일영문화재단_방일영장학생","방일영문화재단","방일영장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학2학기/대학신입생","사회계열/인문계열","2022학년도 1학기 평점 평균34(43만점) 이상인자 * 재단이 선정한 학교의 학생 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수","해당없음","등록금 전액생활비 매월 700000원/년 10회 지급 (2학년 1학기부터 3년간 지급)","* 재단이 선정한 학교의 학생 추천 방식으로/ 신청시 각 학교 장학부서에 문의 필수현재 1학년에 재학중인 학부생으로 특별히 장학금 혜택이 필요한 자","해당없음",NULL,"해당없음","00명","휴학 시 지급 유예","학장 추천서",NULL,"2022-11-06 17:00:50.930538","2022-11-06 17:00:50.930538",0,0
"봉평태기장학회_향토장학생","봉평태기장학회","향토장학생","민간(기타)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","대학교 재학생은 前학기 성적이 85점(백분율 환산점수) 이상대학교 신입생은 수학능력점수 85점(백분율 환산점수) 이상","차상위계층・수급자 우선가정형편이 어려운 학생 * 보호자의 재산세(재산세 도시계획세/ 소방공동시설세/ 지방교육세) 세액 10/000원 미만 및 종합토지세 5/000원 이하","전문대 : 1000000원국・사립대 : 1500000원 내외","2022년 7월 30일 현재까지 보호자의 본적 또는 주소가 봉평면내에 되어 있는 대학교 재학생・신입생","본적을 봉평면내에 두고 기준일 현재 주소가 봉평면낸에 3년 이상 거주하고 있는 자단/ 본적이 타 지역인 자는 5년 이상 거주",NULL,"예산범위내 성적순 선발/ 장학이사회 심의후 개별통보예정","해당없음","학자금 면제자타장학금 100만원 이상 수혜대상 확정자","해당없음",NULL,"2022-11-06 17:00:50.457343","2022-11-06 17:00:50.457343",0,0
"양양군인재육성장학회_특별장학생","양양군인재육성장학회","특별장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 10이내 또는 대학수학능력시험 3개영역 언어/ 수리/ 외국어 종합등급 2등급 이내인 자 재학생 : 직전학기 성적이 평균 B학점이상인자","해당없음","* 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써 중복지원 범위에서 제외","서울대/ 연세대/고려대/카이스트대/포스텍대 재학생","양양군 관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생 양양군에 주소를 두고 2년 이상 실제 거주하고 있는 주민 또는 그의 자녀",NULL,"해당없음","이사회에서 결정","공무원 자녀(고등학생) 및 공공기관 등 학비전액 지원자 제외원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학","해당없음",NULL,"2022-11-06 17:00:50.46099","2022-11-06 17:00:50.46099",0,0
"양양군인재육성장학회_우등장학생","양양군인재육성장학회","우등장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 20이내 또는 대학수학능력시험 3개영역 언어/ 수리/ 외국어 종합등급 2등급 이내인 자재학생 : 평점 평균이 B학점 이상 (단/ *서울대/연/고대/카이스트대/포스텍대 학생은 C학점 이상인 자","해당없음","* 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써 중복지원 범위에서 제외","해당없음","관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생 양양군 관내 고등학교에 재학중인 학생과 양양군에 주소를 두고 2년 이상 실제 거주하고 있는 주민 또는 그 주민의 자녀",NULL,"해당없음","이사회에서 결정","원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학공무원/ 회사원 등 직업소유자","해당없음",NULL,"2022-11-06 17:00:50.465816","2022-11-06 17:00:50.465816",0,0
"양양군인재육성장학회_유공및저소득층자녀장학생","양양군인재육성장학회","유공및저소득층자녀장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 고등학교 3학년 성적이 재적학년 정원의 100분의 30이내 또는 대학수학능력시럼 3개영역 언어/ 수리/ 외국어 종합등급 3등급이내인 자 재학생 : 평점 평균이 B학점 이상","국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀","* (재)양양군인재육성장학회에서 지급하는 장학금은 ‘생활비’ 지원명목의 장학금으로써 이중지원 범위에서 제외됨을 알려드립니다","국가유공자 또는 저소득층(기초생활수급자 및 차상위계층)의 자녀","관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생",NULL,"해당없음","이사회에서 결정","원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학공무원/ 회사원 등 직업소유자","해당없음",NULL,"2022-11-06 17:00:50.469821","2022-11-06 17:00:50.469821",0,0
"양양군인재육성장학회_특기장학생","양양군인재육성장학회","특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","* 양양군인재육성장학회에서 지급하는 장학금은 생활비 명목의 장학금으로써 중복지원 범위에서 제외","예능/ 체육/ 기능에 소질과 재능이 뛰어난 학생으로 신청일 기준 2년 이내에 도 주관이상의 대회에서 입상하여 지역의 명예를 드높인 학생","양양군 관내 중/고등학교 졸업후 국내에 소재한 대학교에 진학한 학생양양군에 주소를 2년 이상 둔 주민/ 똔느 그 주민의 자녀",NULL,"해당없음","이사회에서 결정","원격대학평생교육법에 의한 학점은행제 교육원 및 전문학교생활비를 지원 받는 특수대학공무원/ 회사원 등 직업소유자","해당없음",NULL,"2022-11-06 17:00:50.473667","2022-11-06 17:00:50.473667",0,0
"재단법인 부여군굿뜨래장학회_장학생","재단법인 부여군굿뜨래장학회","장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생은 직전학기(고교)과목별 평균등급이 3등급 이내직전학기 성적이 평균 B학점(30)이상인 재학생 * 그 외 첨부파일 참고","해당없음","1인당 2000000원","한국전통문화대학교 : 4명부여고/부여여고 : 각 2명부여정보고/ 한국식품마이스터고/ 부여전자고 : 각1명읍/면 : 부여4/ 규암2/ 기타면 각 1명향우회(재경/재인천/재전) 각1명 부여군중소기업협의회 : 1명  3급이상 장애인 : 3명 다자녀/다문화세대 자녀 : 9명","공고일 1년 전부터 부여군에 주소를 둔 군민 또는 군민의 자녀재경/ 재인천/ 재전 향우회원 자녀관내 중소기업체 임직원 자녀3급이상 장애인/ 다자녀세대(3인 이상의 자녀를 둔 세대)자녀 등",NULL,"해당없음","대학생 96명(장학금 배정인원에 조건이 있으므로/ 첨부파일 참고)","해당없음","* 첨부파일 참고",NULL,"2022-11-06 17:00:50.47903","2022-11-06 17:00:50.47903",0,0
